Size|Sorting Algorithm|File Name|File Input Type|Time Taken
22500|quick sort|descorder.txt|desc|0.218750
22500|merge sort|descorder.txt|desc|0.000000
22500|heap sort|descorder.txt|desc|0.015625
23000|bubble sort|randomlist.txt|random|2.093750
23000|selection sort|randomlist.txt|random|0.906250
23000|insertion sort|randomlist.txt|random|0.515625
23000|quick sort|randomlist.txt|random|0.000000
23000|merge sort|randomlist.txt|random|0.015625
23000|heap sort|randomlist.txt|random|0.000000
23000|bubble sort|ascorder.txt|asc|0.890625
23000|selection sort|ascorder.txt|asc|0.875000
23000|insertion sort|ascorder.txt|asc|0.000000
23000|quick sort|ascorder.txt|asc|0.031250
23000|merge sort|ascorder.txt|asc|0.000000
23000|heap sort|ascorder.txt|asc|0.000000
23000|bubble sort|descorder.txt|desc|1.640625
23000|selection sort|descorder.txt|desc|0.968750
23000|insertion sort|descorder.txt|desc|1.000000
23000|quick sort|descorder.txt|desc|0.218750
23000|merge sort|descorder.txt|desc|0.000000
23000|heap sort|descorder.txt|desc|0.000000
23500|bubble sort|randomlist.txt|random|2.187500
23500|selection sort|randomlist.txt|random|0.953125
23500|insertion sort|randomlist.txt|random|0.546875
23500|quick sort|randomlist.txt|random|0.015625
23500|merge sort|randomlist.txt|random|0.015625
23500|heap sort|randomlist.txt|random|0.000000
23500|bubble sort|ascorder.txt|asc|0.937500
23500|selection sort|ascorder.txt|asc|0.906250
23500|insertion sort|ascorder.txt|asc|0.000000
23500|quick sort|ascorder.txt|asc|0.046875
23500|merge sort|ascorder.txt|asc|0.000000
23500|heap sort|ascorder.txt|asc|0.000000
23500|bubble sort|descorder.txt|desc|1.687500
23500|selection sort|descorder.txt|desc|1.062500
23500|insertion sort|descorder.txt|desc|1.046875
23500|quick sort|descorder.txt|desc|0.218750
23500|merge sort|descorder.txt|desc|0.015625
23500|heap sort|descorder.txt|desc|0.000000
24000|bubble sort|randomlist.txt|random|2.265625
24000|selection sort|randomlist.txt|random|1.000000
24000|insertion sort|randomlist.txt|random|0.578125
24000|quick sort|randomlist.txt|random|0.015625
24000|merge sort|randomlist.txt|random|0.015625
24000|heap sort|randomlist.txt|random|0.015625
24000|bubble sort|ascorder.txt|asc|1.031250
24000|selection sort|ascorder.txt|asc|0.921875
24000|insertion sort|ascorder.txt|asc|0.000000
24000|quick sort|ascorder.txt|asc|0.046875
24000|merge sort|ascorder.txt|asc|0.000000
24000|heap sort|ascorder.txt|asc|0.000000
24000|bubble sort|descorder.txt|desc|1.812500
24000|selection sort|descorder.txt|desc|1.078125
24000|insertion sort|descorder.txt|desc|1.031250
24000|quick sort|descorder.txt|desc|0.234375
24000|merge sort|descorder.txt|desc|0.000000
24000|heap sort|descorder.txt|desc|0.015625
24500|bubble sort|randomlist.txt|random|2.390625
24500|selection sort|randomlist.txt|random|1.031250
24500|insertion sort|randomlist.txt|random|0.515625
24500|quick sort|randomlist.txt|random|0.000000
24500|merge sort|randomlist.txt|random|0.000000
24500|heap sort|randomlist.txt|random|0.015625
24500|bubble sort|ascorder.txt|asc|1.109375
24500|selection sort|ascorder.txt|asc|1.046875
24500|insertion sort|ascorder.txt|asc|0.000000
24500|quick sort|ascorder.txt|asc|0.046875
24500|merge sort|ascorder.txt|asc|0.000000
24500|heap sort|ascorder.txt|asc|0.000000
24500|bubble sort|descorder.txt|desc|1.937500
24500|selection sort|descorder.txt|desc|1.078125
24500|insertion sort|descorder.txt|desc|1.093750
24500|quick sort|descorder.txt|desc|0.234375
24500|merge sort|descorder.txt|desc|0.000000
24500|heap sort|descorder.txt|desc|0.000000
25000|bubble sort|randomlist.txt|random|2.468750
25000|selection sort|randomlist.txt|random|1.078125
25000|insertion sort|randomlist.txt|random|0.562500
25000|quick sort|randomlist.txt|random|0.015625
25000|merge sort|randomlist.txt|random|0.000000
25000|heap sort|randomlist.txt|random|0.015625
25000|bubble sort|ascorder.txt|asc|1.078125
25000|selection sort|ascorder.txt|asc|1.062500
25000|insertion sort|ascorder.txt|asc|0.000000
25000|quick sort|ascorder.txt|asc|0.046875
25000|merge sort|ascorder.txt|asc|0.015625
25000|heap sort|ascorder.txt|asc|0.015625
25000|bubble sort|descorder.txt|desc|1.921875
25000|selection sort|descorder.txt|desc|1.109375
25000|insertion sort|descorder.txt|desc|1.171875
25000|quick sort|descorder.txt|desc|0.250000
25000|merge sort|descorder.txt|desc|0.000000
25000|heap sort|descorder.txt|desc|0.015625
25500|bubble sort|randomlist.txt|random|2.546875
25500|selection sort|randomlist.txt|random|1.125000
25500|insertion sort|randomlist.txt|random|0.593750
25500|quick sort|randomlist.txt|random|0.015625
25500|merge sort|randomlist.txt|random|0.000000
25500|heap sort|randomlist.txt|random|0.000000
25500|bubble sort|ascorder.txt|asc|1.171875
25500|selection sort|ascorder.txt|asc|1.125000
25500|insertion sort|ascorder.txt|asc|0.000000
25500|quick sort|ascorder.txt|asc|0.046875
25500|merge sort|ascorder.txt|asc|0.015625
25500|heap sort|ascorder.txt|asc|0.000000
25500|bubble sort|descorder.txt|desc|1.984375
25500|selection sort|descorder.txt|desc|1.140625
25500|insertion sort|descorder.txt|desc|1.265625
25500|quick sort|descorder.txt|desc|0.265625
25500|merge sort|descorder.txt|desc|0.000000
25500|heap sort|descorder.txt|desc|0.000000
26000|bubble sort|randomlist.txt|random|2.609375
26000|selection sort|randomlist.txt|random|1.156250
26000|insertion sort|randomlist.txt|random|0.625000
26000|quick sort|randomlist.txt|random|0.015625
26000|merge sort|randomlist.txt|random|0.015625
26000|heap sort|randomlist.txt|random|0.015625
26000|bubble sort|ascorder.txt|asc|1.156250
26000|selection sort|ascorder.txt|asc|1.156250
26000|insertion sort|ascorder.txt|asc|0.000000
